trial,thr,hidden_dim,layers,lr,loss
0,0.38419035864624285,64,4,0.0016405613627996293,0.19624848663806915
1,0.46983514592955367,128,2,0.0007230605913169141,0.15138326585292816
2,0.19408560227571842,32,4,0.0001441129651361845,0.6862583756446838
3,0.12012734625349654,32,4,0.0009457028819084986,0.6630080938339233
4,0.27238074066987017,32,2,0.0009436283881544931,0.20464718341827393
5,0.06477014604356719,32,4,0.0001970197446930672,1.1533873081207275
6,0.12080811142228474,32,4,0.0003019613273344724,0.480050653219223
7,0.19827354150430884,64,4,0.00013702038922867472,0.5656470060348511
8,0.1695868663139044,256,2,0.0019193756826539979,0.2015463411808014
9,0.16029655209867646,64,3,0.0003785695741056113,0.5967492461204529
10,0.4054059561611566,128,3,0.0007492516098499689,0.23731152713298798
11,0.42532315427758377,128,2,0.0019501460352150375,0.1828804761171341
12,0.47751065523110936,128,2,0.0005994571405009107,0.1543484330177307
13,0.4931148640962926,128,3,0.0005741554469994462,0.08689970523118973
14,0.2827717608636263,128,3,0.0004843942812909017,0.2092505842447281
15,0.29662496382791387,128,3,0.0002742353434853242,0.31428638100624084
16,0.32834339194182194,256,2,0.001121008343204502,0.19493447244167328
17,0.0553792276115236,128,3,0.0005746016518613645,1.1542588472366333
18,0.23465202787119815,128,2,0.0012102563055993328,0.5448785424232483
19,0.49543271943208983,128,3,0.0007259698680140646,0.14647457003593445
